,x,y,vx,vy,E_total,E_kin,E_pot
0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-20.0,-0.3059828776664615,-2.6170620405790236e-19,-2.445728829426633,-0.7053702828334281,269.1715278189856,-269.87689810181905
2,-20.0,-1.220743901797031,-1.0398372715672139e-18,-4.866047002228363,-11.167517129677663,1065.528604255304,-1076.6961213849816
3,-20.0,-2.7348525559796486,-2.307880674156722e-18,-7.236589039769342,-55.570012501110796,2356.5699418729396,-2412.1399543740504
4,-20.0,-4.83301861131512,-4.0203927551385065e-18,-9.534989794571812,-171.50104796344885,4091.2213672164876,-4262.722415179936
5,-20.0,-7.494694850669822,-6.1166826990285595e-18,-11.741672571593963,-406.3114932572944,6204.009365033489,-6610.320858290784
6,-20.0,-10.694850064683349,-8.525486910710486e-18,-13.840416561923043,-812.7868797108003,8620.070877339915,-9432.857757050715
7,-20.0,-14.404853415026876,-1.1170038713966905e-17,-15.818678646532994,-1444.7039765511545,11260.376735502552,-12705.080712053707
8,-20.0,-18.593408665382984,-1.3972957597039758e-17,-17.66767332370778,-2352.7858125712955,14046.6006302965,-16399.386442867795
9,-20.0,-23.227480853201534,-1.686049195823826e-17,-19.382238506801983,-3581.4354834686674,16905.20262905509,-20486.638112523757
10,-20.0,-28.273167128855782,-1.9765812417376072e-17,-20.960531270440583,-5166.459206390511,19770.47420126029,-24936.933407650802
11,-20.0,-33.69647565083699,-2.2631228062122148e-17,-22.40360536317186,-7133.822526944798,22586.46899709343,-29720.291524038228
12,-20.0,-39.46398952054342,-2.54093514835456e-17,-23.71492227646146,-9499.349521081938,25307.889236037365,-34807.2387571193
13,-20.0,-45.54340505349395,0.001873092939524856,-24.897709266142208,-12272.074079440954,27895.31685944193,-40167.39093888288
14,-19.994718340774554,-51.897686249249716,0.05360715849847976,-25.900253026933633,-15434.205736110562,30187.16912639822,-45621.37486250878
15,-19.96700048175211,-58.47544508218377,0.17959574893638042,-26.685911407372036,-18941.357303910587,32047.655502381524,-50989.012806292114
16,-19.899650753482476,-65.21884710639223,0.36874774839676483,-27.203452225754674,-22725.50997606899,33307.370455538905,-56032.88043160789
17,-19.778326121481637,-72.04590634304738,0.6094678705275195,-27.353077124616583,-26647.66707214631,33685.302567169274,-60332.96963931559
18,-19.591560339158193,-78.86677935919792,0.8904558394729027,-27.159507200326576,-30561.745543320292,33229.42843349891,-63791.173976819206
19,-19.330613205113565,-85.59989643912508,1.2012757634049582,-26.656757637032715,-34331.21639648498,32041.16060306608,-66372.37699955107
20,-18.98920888907426,-92.17224959585675,1.5326818388169452,-25.87901796026746,-37843.81902708396,30243.27078930983,-68087.0898163938
21,-18.563221848524567,-98.51924525299476,1.876720764631938,-24.859224647973665,-41016.46701017606,27967.640891706997,-68984.10790188305
22,-18.050356355450624,-104.58427059122866,2.2266930003786944,-23.628179049511743,-43796.369992907734,25346.20531111745,-69142.57530402517
23,-17.449846461874266,-110.3180949694563,2.5770367255220936,-22.214089433003153,-46159.3292875785,22504.80994299684,-68664.13923057534
24,-16.762190033100175,-115.67819734456245,2.9231768231832547,-20.64241842078671,-48106.16382782121,19559.448044929362,-67665.61187275057
25,-15.988922129169715,-120.62808303434075,3.2613641685075896,-18.93593548089526,-49658.08390025408,16614.276694931395,-66272.36059518548
26,-15.132428333294886,-125.13663096404393,3.5885180792087423,-17.11489738598397,-50851.6418262127,13760.872854190602,-64612.51468040329
27,-14.19579659827006,-129.1774961133128,3.9020757049764403,-15.197301957250103,-51733.7049917535,11078.288171424234,-62811.99316317773
28,-13.182706199859275,-132.7285807255556,4.199844476875178,-13.19918008599815,-52356.743054987106,8633.567185764707,-60990.3102407518
29,-12.097354412025625,-135.77158133450078,4.479844751948156,-11.13490893702514,-52774.60634118166,6482.484271682989,-59257.090612864646
