,x,y,vx,vy,E_total,E_kin,E_pot
0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-20.0,-0.30625,0.0,-2.4499999999999997,-1.1368683772161603e-13,270.11249999999995,-270.11250000000007
2,-20.0,-1.2249999999999999,0.0,-4.8999999999999995,-2.2737367544323206e-13,1080.4499999999998,-1080.45
3,-20.0,-2.7562499999999996,0.0,-7.35,0.0,2431.0125,-2431.0125
4,-20.0,-4.9,0.0,-9.799999999999999,-1.8189894035458565e-12,4321.799999999999,-4321.800000000001
5,-20.0,-7.65625,0.0,-12.249999999999998,-3.637978807091713e-12,6752.812499999997,-6752.812500000001
6,-20.0,-11.025,0.0,-14.699999999999998,-5.4569682106375694e-12,9724.049999999996,-9724.050000000001
7,-20.0,-15.00625,0.0,-17.15,-3.637978807091713e-12,13235.512499999997,-13235.5125
8,-20.0,-19.6,0.0,-19.599999999999998,-7.275957614183426e-12,17287.199999999997,-17287.200000000004
9,-20.0,-24.806250000000002,0.0,-22.049999999999997,-7.275957614183426e-12,21879.112499999996,-21879.112500000003
10,-20.0,-30.625,0.0,-24.499999999999996,-1.4551915228366852e-11,27011.24999999999,-27011.250000000004
11,-20.0,-37.05625,0.0,-26.949999999999996,-1.4551915228366852e-11,32683.61249999999,-32683.612500000003
12,-20.0,-44.099999999999994,0.0,-29.399999999999995,-1.4551915228366852e-11,38896.19999999998,-38896.2
13,-19.996484425592364,-51.75204419620103,0.04342310096294283,-31.7965585414894,-3.123030881761224,45496.03592916269,-45499.15896004445
14,-19.97014051856531,-59.986209903202344,0.1830320512435845,-34.05003305987569,-3.1224990764821996,52174.721344968435,-52177.84384404492
15,-19.89745747769214,-68.75247132896513,0.4126252480998984,-36.00811837609409,-3.315088755080069,58353.968186197846,-58357.283274952926
16,-19.757162500787636,-77.95264400646536,0.7220859004780102,-37.51535489756013,-3.313904228110914,63356.54675119011,-63359.860655418226
17,-19.530726833160212,-87.46992568310905,1.0997197523304698,-38.54053683818585,-3.3135119958315045,66896.20634891519,-66899.51986091101
18,-19.202655560676284,-97.18082508778895,1.533066418045629,-39.06131056378885,-3.313785526130232,68766.13240213058,-68769.44618765671
19,-18.76060368889903,-106.9573613639645,2.0094597064918127,-39.064095223568465,-3.314589294284815,68851.86587766174,-68855.18046695602
20,-18.195380895382343,-116.66923883678436,2.5163726613381674,-38.543917635685794,-3.3158052181388484,67138.45731347673,-67141.77311869487
21,-17.500888266849653,-126.18596932980135,3.041628437133702,-37.50416449882212,-3.317337934015086,63711.62362369304,-63714.94096162706
22,-16.67401271994877,-135.37892492005918,3.573535778227424,-35.956275451085986,-3.3191128141770605,58753.07560226881,-58756.39471508298
23,-15.714492946599531,-144.12330703984526,4.1009859646169105,-33.919380554609226,-3.3210722413641633,52530.41083906743,-52533.7319113088
24,-14.624763645882384,-152.3000176747105,4.613532038395398,-31.419878855380855,-3.323171996511519,45382.20593202494,-45385.52910402145
25,-13.409780992668747,-159.79741739838352,5.101460832328209,-28.490953954750417,-3.3253782482934184,37699.17119439693,-37702.496572645236
26,-12.076830493016516,-166.51295416647872,5.555862248757541,-25.172024339898964,-3.327665179473115,29902.42866130358,-29905.756326483068
27,-10.63531772668989,-172.3546465422207,5.968696889521427,-21.50812877783998,-3.330013162776595,22420.122573740893,-22423.452586903688
28,-9.096542440773803,-177.24240542510344,6.3328614336677145,-17.549249614132314,-3.332407379959477,15663.658318072161,-15666.990725452139
